feature,importance
remainder__seller_customer_distance_km,0.15608437692710087
remainder__estimated_delivery_days,0.15290527348226002
remainder__freight_value,0.12727147049246745
remainder__price,0.12681791463136746
remainder__product_weight_g,0.115663399152281
remainder__purchase_day_of_week,0.07051033869947843
cat__customer_state_RJ,0.012797564721626454
cat__customer_state_SP,0.011370125412607266
cat__product_category_name_esporte_lazer,0.009233986070949966
cat__product_category_name_moveis_decoracao,0.008748571262300296
cat__product_category_name_beleza_saude,0.008266706167588043
cat__product_category_name_cama_mesa_banho,0.008018266135246567
cat__product_category_name_informatica_acessorios,0.007899664430291761
cat__seller_state_SP,0.00771707713292302
cat__customer_state_MG,0.0069154539245657445
cat__product_category_name_utilidades_domesticas,0.0066008203598833075
cat__product_category_name_automotivo,0.006430871676208978
cat__product_category_name_brinquedos,0.006232970675790666
cat__product_category_name_relogios_presentes,0.006198762314733017
cat__product_category_name_cool_stuff,0.005767732831155229
cat__product_category_name_perfumaria,0.005262279945029576
cat__product_category_name_bebes,0.005254799900714472
cat__product_category_name_ferramentas_jardim,0.005015795853363576
cat__product_category_name_telefonia,0.00500917614324387
cat__customer_state_PR,0.004717379987990753
cat__product_category_name_papelaria,0.0044848571679587815
cat__seller_state_PR,0.004400862072088809
cat__seller_state_MG,0.004319805968880539
cat__product_category_name_eletronicos,0.00396395281816812
cat__seller_state_RJ,0.0038180270252957827
cat__product_category_name_pet_shop,0.0037612760013743625
cat__customer_state_SC,0.003682297017494723
cat__customer_state_RS,0.003632646648236583
cat__product_category_name_fashion_bolsas_e_acessorios,0.0035261295189879215
cat__customer_state_BA,0.0034304547236624883
cat__seller_state_SC,0.002661377396299044
cat__customer_state_ES,0.002624379357840831
cat__customer_state_DF,0.002343942383761634
cat__customer_state_GO,0.0023386500227096925
cat__product_category_name_consoles_games,0.0023148476483065596
cat__product_category_name_moveis_escritorio,0.00221611680827203
cat__product_category_name_construcao_ferramentas_construcao,0.0022091013373643303
cat__product_category_name_eletrodomesticos,0.002097564803556037
cat__seller_state_RS,0.002073416378694308
cat__customer_state_CE,0.0019232110799589821
cat__product_category_name_instrumentos_musicais,0.0019210935956559532
cat__customer_state_MA,0.0018753405621272346
cat__product_category_name_casa_construcao,0.0018543084448028153
cat__product_category_name_malas_acessorios,0.0018385775335512256
cat__product_category_name_eletroportateis,0.0017481592280051727
cat__customer_state_PE,0.0016119074948392844
cat__product_category_name_livros_interesse_geral,0.001539891036126371
cat__customer_state_MT,0.0015250619239010157
cat__customer_state_AL,0.001522824141211511
cat__customer_state_MS,0.001463775594633697
cat__product_category_name_alimentos,0.001447500302445829
cat__customer_state_PA,0.0014248487201421881
cat__product_category_name_casa_conforto,0.0013592017103283072
cat__seller_state_MA,0.0013546727702560936
cat__seller_state_DF,0.0012466840549482617
cat__product_category_name_audio,0.0011896738591680683
cat__customer_state_PB,0.0010388952633354374
cat__customer_state_PI,0.0010235585756402474
cat__product_category_name_construcao_ferramentas_iluminacao,0.0009803897940939513
cat__product_category_name_bebidas,0.0009703944065365337
cat__product_category_name_moveis_sala,0.0009584810372356869
cat__product_category_name_livros_tecnicos,0.0009263237423434594
cat__seller_state_BA,0.0008753577272264771
cat__product_category_name_moveis_cozinha_area_de_servico_jantar_e_jardim,0.0008578916252218087
cat__customer_state_SE,0.0008381659690662479
cat__customer_state_RN,0.0008209373044147977
cat__seller_state_GO,0.0008023395724344923
cat__product_category_name_market_place,0.0007991401105441151
cat__product_category_name_construcao_ferramentas_jardim,0.0007411326799281296
cat__product_category_name_telefonia_fixa,0.000709997826846937
cat__product_category_name_alimentos_bebidas,0.0006860322027623686
cat__product_category_name_artes,0.0006701960405480396
cat__product_category_name_industria_comercio_e_negocios,0.0006697953662337758
cat__product_category_name_climatizacao,0.0006618454960435798
cat__customer_state_TO,0.0006580460357792002
cat__product_category_name_artigos_de_natal,0.0006559566861887227
cat__seller_state_ES,0.0005927492766255825
cat__product_category_name_eletrodomesticos_2,0.0005868714218196493
cat__seller_state_PE,0.0005755078137905343
cat__product_category_name_sinalizacao_e_seguranca,0.0005476407032046263
cat__customer_state_RO,0.0005458085447017667
cat__product_category_name_construcao_ferramentas_seguranca,0.0005438656893425685
cat__product_category_name_fashion_calcados,0.000494423491470717
cat__product_category_name_fashion_underwear_e_moda_praia,0.00045857287969734386
cat__product_category_name_agro_industria_e_comercio,0.00045014635183456545
cat__product_category_name_pcs,0.0004340549177057651
cat__product_category_name_moveis_quarto,0.0003363102516304746
cat__product_category_name_construcao_ferramentas_ferramentas,0.0003302599149227349
cat__customer_state_AM,0.0002766079577978236
cat__product_category_name_portateis_casa_forno_e_cafe,0.0002609659442094899
cat__product_category_name_fashion_roupa_masculina,0.0002542121990359196
cat__seller_state_MT,0.00024290469271425345
cat__product_category_name_tablets_impressao_imagem,0.00023950182623615142
cat__product_category_name_livros_importados,0.00023078492939025228
cat__product_category_name_cine_foto,0.0002283256532359835
cat__seller_state_CE,0.00022532117150535065
cat__product_category_name_artigos_de_festas,0.00020404588856858224
cat__product_category_name_casa_conforto_2,0.00019425532469595605
cat__product_category_name_musica,0.00019082247749782397
cat__product_category_name_fashion_roupa_feminina,0.00015452942380687743
cat__seller_state_MS,0.00015042728327764883
cat__customer_state_AC,0.0001455946487179055
cat__customer_state_RR,0.00013802927860575564
cat__product_category_name_dvds_blu_ray,0.00013794416478883512
cat__customer_state_AP,0.00013702072988897894
cat__product_category_name_fashion_esporte,0.00011706018646216978
cat__product_category_name_moveis_colchao_e_estofado,0.00010946998434626275
cat__product_category_name_fraldas_higiene,0.00010768066585759841
cat__seller_state_RN,9.52656211936294e-05
cat__product_category_name_artes_e_artesanato,7.61861455591788e-05
cat__product_category_name_flores,7.55065727050567e-05
cat__seller_state_PA,5.589138710585826e-05
cat__product_category_name_portateis_cozinha_e_preparadores_de_alimentos,5.175316590468718e-05
cat__seller_state_PB,4.984448812246375e-05
cat__product_category_name_pc_gamer,2.8402043904930788e-05
cat__seller_state_AM,2.7535831369148925e-05
cat__product_category_name_cds_dvds_musicais,2.72617061969173e-05
cat__seller_state_RO,1.7448107290184196e-05
cat__product_category_name_la_cuisine,1.45389428755286e-05
cat__seller_state_SE,1.3891825309735524e-05
cat__seller_state_PI,1.2125843132198967e-05
cat__product_category_name_fashion_roupa_infanto_juvenil,7.185185707147514e-06
cat__product_category_name_seguros_e_servicos,3.3545015909782865e-06
